log(E / eV)	log(z / pc)	t / yr	 logQ
6	1	32.7213	49.7725
6.37931	1	32.7213	50.2787
6.75862	1	32.7213	50.0482
7.13793	1	32.7213	49.5101
7.51724	1	32.7213	48.8435
7.89655	1	32.7213	48.1233
8.27586	1	32.7213	47.3808
8.65517	1	32.7213	46.6288
9.03448	1	32.7213	45.873
9.41379	1	32.7213	45.1156
9.7931	1	32.7213	44.3574
10.1724	1	32.7213	43.599
10.5517	1	32.7213	42.8404
10.931	1	32.7213	42.0818
11.3103	1	32.7213	41.323
11.6897	1	32.7213	40.564
12.069	1	32.7213	39.8044
12.4483	1	32.7213	39.0435
12.8276	1	32.7213	38.2794
13.2069	1	32.7213	37.5075
13.5862	1	32.7213	36.7173
13.9655	1	32.7213	35.883
14.3448	1	32.7213	34.9432
14.7241	1	32.7213	33.7506
15.1034	1	32.7213	31.9524
15.4828	1	32.7213	28.7042
15.8621	1	32.7213	21.9828
16.2414	1	32.7213	6.94318
16.6207	1	32.7213	-28.0188
17	1	32.7213	-110.695
6	1.03448	35.4253	48.6388
6.37931	1.03448	35.4253	49.145
6.75862	1.03448	35.4253	48.9144
7.13793	1.03448	35.4253	48.3763
7.51724	1.03448	35.4253	47.7098
7.89655	1.03448	35.4253	46.9896
8.27586	1.03448	35.4253	46.247
8.65517	1.03448	35.4253	45.4951
9.03448	1.03448	35.4253	44.7393
9.41379	1.03448	35.4253	43.9818
9.7931	1.03448	35.4253	43.2237
10.1724	1.03448	35.4253	42.4652
10.5517	1.03448	35.4253	41.7067
10.931	1.03448	35.4253	40.948
11.3103	1.03448	35.4253	40.1892
11.6897	1.03448	35.4253	39.4302
12.069	1.03448	35.4253	38.6707
12.4483	1.03448	35.4253	37.9097
12.8276	1.03448	35.4253	37.1456
13.2069	1.03448	35.4253	36.3738
13.5862	1.03448	35.4253	35.5836
13.9655	1.03448	35.4253	34.7493
14.3448	1.03448	35.4253	33.8095
14.7241	1.03448	35.4253	32.6168
15.1034	1.03448	35.4253	30.8187
15.4828	1.03448	35.4253	27.5704
15.8621	1.03448	35.4253	20.849
16.2414	1.03448	35.4253	5.80942
16.6207	1.03448	35.4253	-29.1525
17	1.03448	35.4253	-111.829
6	1.06897	38.3527	48.6297
6.37931	1.06897	38.3527	49.1359
6.75862	1.06897	38.3527	48.9054
7.13793	1.06897	38.3527	48.3673
7.51724	1.06897	38.3527	47.7007
7.89655	1.06897	38.3527	46.9805
8.27586	1.06897	38.3527	46.238
8.65517	1.06897	38.3527	45.486
9.03448	1.06897	38.3527	44.7302
9.41379	1.06897	38.3527	43.9728
9.7931	1.06897	38.3527	43.2146
10.1724	1.06897	38.3527	42.4562
10.5517	1.06897	38.3527	41.6976
10.931	1.06897	38.3527	40.939
11.3103	1.06897	38.3527	40.1802
11.6897	1.06897	38.3527	39.4212
12.069	1.06897	38.3527	38.6616
12.4483	1.06897	38.3527	37.9007
12.8276	1.06897	38.3527	37.1366
13.2069	1.06897	38.3527	36.3648
13.5862	1.06897	38.3527	35.5745
