log(E/eV)	z/pc	t/yr	Synchr	IC	IC-Aux	SSC
-5.83275	10	32.7213	37.2488	0	0	0
-5.03964	10	32.7213	37.6602	0	0	27.5246
-4.24654	10	32.7213	38.0496	0	0	28.9068
-3.45344	10	32.7213	38.4239	0	23.687	29.9919
-2.66033	10	32.7213	38.7921	0	26.6815	30.8442
-1.86723	10	32.7213	39.1779	0	29.0616	31.5357
-1.07413	10	32.7213	39.5921	25.1045	31.0316	32.1356
-0.281024	10	32.7213	40.0023	27.6646	32.38	32.6722
0.512079	10	32.7213	40.3996	29.933	33.4314	33.1799
1.30518	10	32.7213	40.762	31.716	34.2214	33.6615
2.09829	10	32.7213	41.0546	32.9777	34.8148	34.1301
2.89139	10	32.7213	41.2519	33.9592	35.3013	34.583
3.68449	10	32.7213	41.354	34.698	35.7356	35.0354
4.4776	10	32.7213	41.3759	35.2654	36.1451	35.464
5.2707	10	32.7213	41.342	35.7356	36.5474	35.9092
6.0638	10	32.7213	41.2828	36.1578	36.9495	36.3275
6.85691	10	32.7213	41.1665	36.5632	37.319	36.7289
7.65001	10	32.7213	40.9271	36.9398	37.6892	37.0992
8.44311	10	32.7213	40.4798	37.2733	38.1576	37.4355
9.23622	10	32.7213	39.6914	37.5443	38.5565	37.7486
10.0293	10	32.7213	38.4486	37.8096	38.8931	38.023
10.8224	10	32.7213	35.3239	37.9644	39.2475	38.2094
11.6155	10	32.7213	26.0302	37.5644	39.2953	38.2654
12.4086	10	32.7213	-37.1787	36.482	39.21	38.029
13.2017	10	32.7213	0	34.8002	38.4135	37.6225
13.9948	10	32.7213	0	33.0005	36.9218	36.9392
14.7879	10	32.7213	0	30.6925	34.706	35.6423
15.581	10	32.7213	0	25.4904	29.5408	31.3441
16.3741	10	32.7213	0	0	0	0
17.1673	10	32.7213	0	0	0	0
-5.54945	10.8264	35.4253	37.9612	0	0	0
-4.75634	10.8264	35.4253	38.3695	0	0	28.0121
-3.96324	10.8264	35.4253	38.7573	0	0	29.344
-3.17014	10.8264	35.4253	39.1303	0	25.6462	30.355
-2.37703	10.8264	35.4253	39.4971	0	28.5404	31.1641
-1.58393	10.8264	35.4253	39.8787	0	30.8198	31.8342
-0.790826	10.8264	35.4253	40.2763	26.9499	32.5116	32.4225
0.00227706	10.8264	35.4253	40.6394	29.4798	33.681	32.9526
0.795381	10.8264	35.4253	40.9388	31.6352	34.5603	33.4549
1.58848	10.8264	35.4253	41.1534	33.1415	35.2501	33.9311
2.38159	10.8264	35.4253	41.2846	34.2262	35.7821	34.3912
3.17469	10.8264	35.4253	41.3495	35.0504	36.2453	34.831
3.96779	10.8264	35.4253	41.3657	35.6895	36.6831	35.2669
4.7609	10.8264	35.4253	41.3415	36.2204	37.0688	35.6666
5.554	10.8264	35.4253	41.287	36.6733	37.4588	36.085
6.3471	10.8264	35.4253	41.2184	37.0858	37.848	36.4683
7.14021	10.8264	35.4253	41.0944	37.471	38.2129	36.8309
7.93331	10.8264	35.4253	40.8452	37.8721	38.5948	37.1673
8.72641	10.8264	35.4253	40.3795	38.1962	39.0339	37.48
9.51952	10.8264	35.4253	39.5477	38.4686	39.3245	37.7601
10.3126	10.8264	35.4253	38.2593	38.7206	39.5448	37.9771
11.1057	10.8264	35.4253	35.1351	38.867	39.6305	38.041
11.8988	10.8264	35.4253	24.9875	38.407	39.5928	37.9282
12.6919	10.8264	35.4253	-43.5322	37.125	39.4355	37.5668
13.485	10.8264	35.4253	0	35.3725	38.7176	37.131
14.2781	10.8264	35.4253	0	33.5595	37.421	36.4434
15.0712	10.8264	35.4253	0	31.2459	35.262	35.1464
15.8643	10.8264	35.4253	0	26.0478	30.1124	30.8487
16.6574	10.8264	35.4253	0	0	0	0
17.4506	10.8264	35.4253	0	0	0	0
-5.54719	11.721	38.3527	37.9218	0	0	0
-4.75409	11.721	38.3527	38.3293	0	0	27.8942
-3.96098	11.721	38.3527	38.7164	0	0	29.2282
-3.16788	11.721	38.3527	39.089	0	25.6521	30.2426
-2.37478	11.721	38.3527	39.4558	0	28.546	31.0537
-1.58167	11.721	38.3527	39.8378	0	30.8247	31.7247
-0.78857	11.721	38.3527	40.2344	26.9552	32.5153	32.3133
0.00453314	11.721	38.3527	40.5945	29.4852	33.6867	32.8435
