log(E / eV)	log(z / pc)	t / yr	 logQ
6	1	0	56.9633
6.37931	1	0	57.4451
6.75862	1	0	57.2106
7.13793	1	0	56.6714
7.51724	1	0	56.0045
7.89655	1	0	55.2842
8.27586	1	0	54.5415
8.65517	1	0	53.7896
9.03448	1	0	53.0338
9.41379	1	0	52.2763
9.7931	1	0	51.5181
10.1724	1	0	50.7598
10.5517	1	0	49.9988
10.931	1	0	49.2056
11.3103	1	0	48.3269
11.6897	1	0	47.3436
12.069	1	0	46.2794
12.4483	1	0	45.1644
12.8276	1	0	44.0144
13.2069	1	0	42.8281
13.5862	1	0	41.5867
13.9655	1	0	40.2462
14.3448	1	0	38.7135
14.7241	1	0	36.7659
15.1034	1	0	33.7759
15.4828	1	0	28.2107
15.8621	1	0	16.4693
16.2414	1	0	-10.0642
16.6207	1	0	-72.0252
17	1	0	-inf
6	1.0101	0.113921	57.4382
6.37931	1.0101	0.113921	57.6338
6.75862	1.0101	0.113921	57.3421
7.13793	1.0101	0.113921	56.7869
7.51724	1.0101	0.113921	56.1143
7.89655	1.0101	0.113921	55.3918
8.27586	1.0101	0.113921	54.6483
8.65517	1.0101	0.113921	53.896
9.03448	1.0101	0.113921	53.14
9.41379	1.0101	0.113921	52.381
9.7931	1.0101	0.113921	51.6049
10.1724	1.0101	0.113921	50.7698
10.5517	1.0101	0.113921	49.8385
10.931	1.0101	0.113921	48.8157
11.3103	1.0101	0.113921	47.7326
11.6897	1.0101	0.113921	46.6166
12.069	1.0101	0.113921	45.4826
12.4483	1.0101	0.113921	44.335
12.8276	1.0101	0.113921	43.1708
13.2069	1.0101	0.113921	41.9786
13.5862	1.0101	0.113921	40.7347
13.9655	1.0101	0.113921	39.3932
14.3448	1.0101	0.113921	37.8601
14.7241	1.0101	0.113921	35.9124
15.1034	1.0101	0.113921	32.9223
15.4828	1.0101	0.113921	27.3571
15.8621	1.0101	0.113921	15.6157
16.2414	1.0101	0.113921	-10.9178
16.6207	1.0101	0.113921	-72.8789
17	1.0101	0.113921	-inf
6	1.0202	0.142268	57.6661
6.37931	1.0202	0.142268	57.6641
6.75862	1.0202	0.142268	57.3181
7.13793	1.0202	0.142268	56.7465
7.51724	1.0202	0.142268	56.0681
7.89655	1.0202	0.142268	55.3433
8.27586	1.0202	0.142268	54.5989
8.65517	1.0202	0.142268	53.846
9.03448	1.0202	0.142268	53.0882
9.41379	1.0202	0.142268	52.3181
9.7931	1.0202	0.142268	51.507
10.1724	1.0202	0.142268	50.6147
10.5517	1.0202	0.142268	49.6276
10.931	1.0202	0.142268	48.5673
11.3103	1.0202	0.142268	47.4643
11.6897	1.0202	0.142268	46.3389
12.069	1.0202	0.142268	45.2008
12.4483	1.0202	0.142268	44.0515
12.8276	1.0202	0.142268	42.8866
13.2069	1.0202	0.142268	41.694
13.5862	1.0202	0.142268	40.45
13.9655	1.0202	0.142268	39.1084
14.3448	1.0202	0.142268	37.5754
14.7241	1.0202	0.142268	35.6276
15.1034	1.0202	0.142268	32.6375
15.4828	1.0202	0.142268	27.0723
15.8621	1.0202	0.142268	15.3309
16.2414	1.0202	0.142268	-11.2026
16.6207	1.0202	0.142268	-73.1636
17	1.0202	0.142268	-inf
6	1.0303	0.173977	57.8355
6.37931	1.0303	0.173977	57.7333
6.75862	1.0303	0.173977	57.3536
7.13793	1.0303	0.173977	56.7712
7.51724	1.0303	0.173977	56.0889
7.89655	1.0303	0.173977	55.3626
8.27586	1.0303	0.173977	54.6174
8.65517	1.0303	0.173977	53.8636
9.03448	1.0303	0.173977	53.1024
9.41379	1.0303	0.173977	52.3213
9.7931	1.0303	0.173977	51.4885
10.1724	1.0303	0.173977	50.5697
10.5517	1.0303	0.173977	49.5612
10.931	1.0303	0.173977	48.4881
11.3103	1.0303	0.173977	47.3786
11.6897	1.0303	0.173977	46.2504
12.069	1.0303	0.173977	45.111
12.4483	1.0303	0.173977	43.9612
12.8276	1.0303	0.173977	42.796
13.2069	1.0303	0.173977	41.6034
13.5862	1.0303	0.173977	40.3593
13.9655	1.0303	0.173977	39.0177
14.3448	1.0303	0.173977	37.4847
14.7241	1.0303	0.173977	35.5369
15.1034	1.0303	0.173977	32.5468
15.4828	1.0303	0.173977	26.9816
15.8621	1.0303	0.173977	15.2402
16.2414	1.0303	0.173977	-11.2933
16.6207	1.0303	0.173977	-73.2543
17	1.0303	0.173977	-inf
6	1.0404	0.196425	57.9367
6.37931	1.0404	0.196425	57.7621
6.75862	1.0404	0.196425	57.3552
7.13793	1.0404	0.196425	56.7635
7.51724	1.0404	0.196425	56.0778
7.89655	1.0404	0.196425	55.3501
8.27586	1.0404	0.196425	54.6041
8.65517	1.0404	0.196425	53.8489
9.03448	1.0404	0.196425	53.0835
9.41379	1.0404	0.196425	52.2925
9.7931	1.0404	0.196425	51.4437
10.1724	1.0404	0.196425	50.5079
10.5517	1.0404	0.196425	49.4868
10.931	1.0404	0.196425	48.4065
11.3103	1.0404	0.196425	47.2935
11.6897	1.0404	0.196425	46.1636
12.069	1.0404	0.196425	45.0236
12.4483	1.0404	0.196425	43.8735
12.8276	1.0404	0.196425	42.7082
13.2069	1.0404	0.196425	41.5155
13.5862	1.0404	0.196425	40.2714
13.9655	1.0404	0.196425	38.9298
14.3448	1.0404	0.196425	37.3968
14.7241	1.0404	0.196425	35.449
15.1034	1.0404	0.196425	32.4589
15.4828	1.0404	0.196425	26.8937
15.8621	1.0404	0.196425	15.1523
16.2414	1.0404	0.196425	-11.3812
16.6207	1.0404	0.196425	-73.3422
17	1.0404	0.196425	-inf
6	1.05051	0.217982	58.0071
6.37931	1.05051	0.217982	57.7844
6.75862	1.05051	0.217982	57.3577
7.13793	1.05051	0.217982	56.7592
7.51724	1.05051	0.217982	56.0709
7.89655	1.05051	0.217982	55.342
8.27586	1.05051	0.217982	54.5952
8.65517	1.05051	0.217982	53.8386
9.03448	1.05051	0.217982	53.0694
9.41379	1.05051	0.217982	52.2707
9.7931	1.05051	0.217982	51.4109
10.1724	1.05051	0.217982	50.4644
10.5517	1.05051	0.217982	49.4356
10.931	1.05051	0.217982	48.351
11.3103	1.05051	0.217982	47.2359
11.6897	1.05051	0.217982	46.1052
12.069	1.05051	0.217982	44.9647
12.4483	1.05051	0.217982	43.8145
12.8276	1.05051	0.217982	42.6491
