z 	t_lab [yr]	t_obs [yr]	Rc	g=Gc/Gj	Fe	Lnt
3.09e+19	0	0	4.15169e+17	0.1	0.009999	4.51262e+41
3.16271e+19	0.769966	0.113921	5.92766e+17	0.193	0.0355066	9.50604e+42
3.23713e+19	1.55805	0.142268	6.99427e+17	0.244	0.0540547	1.33148e+43
3.31331e+19	2.36468	0.173977	8.02181e+17	0.272	0.0639953	1.66014e+43
3.39127e+19	3.19029	0.196425	8.91748e+17	0.298	0.0731452	1.91896e+43
3.47107e+19	4.03532	0.217982	9.783e+17	0.319	0.0798088	2.15248e+43
3.55275e+19	4.90025	0.235869	1.05866e+18	0.339	0.0857854	2.33956e+43
3.63635e+19	5.78552	0.252744	1.1366e+18	0.357	0.0905336	2.50041e+43
3.72192e+19	6.69163	0.26817	1.21166e+18	0.374	0.0945248	2.63087e+43
3.8095e+19	7.61905	0.282743	1.28485e+18	0.39	0.0977565	2.7369e+43
3.89914e+19	8.5683	0.29557	1.35465e+18	0.406	0.100709	2.80817e+43
3.99089e+19	9.53989	0.309608	1.42632e+18	0.42	0.102458	2.88028e+43
4.0848e+19	10.5343	0.32246	1.4957e+18	0.434	0.10396	2.92556e+43
4.18092e+19	11.5522	0.334319	1.56308e+18	0.448	0.105214	2.94639e+43
4.2793e+19	12.594	0.346653	1.63131e+18	0.461	0.105804	2.96253e+43
4.38e+19	13.6603	0.358272	1.6981e+18	0.474	0.106177	2.9593e+43
4.48306e+19	14.7517	0.370588	1.76639e+18	0.486	0.105952	2.95632e+43
4.58855e+19	15.8688	0.381075	1.83085e+18	0.499	0.105918	2.92029e+43
4.69653e+19	17.0122	0.393716	1.90012e+18	0.51	0.104974	2.90582e+43
4.80704e+19	18.1825	0.403376	1.96282e+18	0.523	0.104566	2.844e+43
4.92015e+19	19.3803	0.416589	2.03382e+18	0.533	0.103007	2.82393e+43
5.03593e+19	20.6063	0.425643	2.09524e+18	0.546	0.102264	2.74222e+43
5.15443e+19	21.8611	0.438323	2.1655e+18	0.556	0.100481	2.70388e+43
5.27572e+19	23.1455	0.449512	2.23238e+18	0.567	0.0988872	2.64101e+43
5.39986e+19	24.4601	0.460533	2.29904e+18	0.578	0.0971874	2.57182e+43
5.52693e+19	25.8057	0.471416	2.36556e+18	0.589	0.0953867	2.49727e+43
5.65698e+19	27.1829	0.483465	2.43535e+18	0.599	0.0932717	2.43414e+43
5.7901e+19	28.5925	0.494151	2.50179e+18	0.61	0.0913022	2.35111e+43
5.92634e+19	30.0352	0.506048	2.57172e+18	0.62	0.0890609	2.28034e+43
6.0658e+19	31.512	0.516632	2.63831e+18	0.631	0.0869436	2.19177e+43
6.20853e+19	33.0234	0.52973	2.71218e+18	0.64	0.0844387	2.13047e+43
6.35462e+19	34.5705	0.540287	2.77916e+18	0.651	0.0822093	2.03838e+43
6.50415e+19	36.1539	0.552123	2.85004e+18	0.661	0.0797885	1.95942e+43
6.6572e+19	37.7746	0.56525	2.92501e+18	0.67	0.0772239	1.89287e+43
6.81385e+19	39.4335	0.575895	2.99291e+18	0.681	0.0748607	1.7992e+43
6.97419e+19	41.1313	0.589118	3.06883e+18	0.69	0.0722756	1.73121e+43
7.1383e+19	42.8692	0.601152	3.14144e+18	0.7	0.0697718	1.65052e+43
7.30627e+19	44.6479	0.614529	3.21851e+18	0.709	0.0671923	1.58207e+43
7.4782e+19	46.4685	0.626741	3.29224e+18	0.719	0.0646752	1.50223e+43
7.65417e+19	48.3319	0.64032	3.37062e+18	0.728	0.0621131	1.43436e+43
7.83428e+19	50.2391	0.654019	3.44973e+18	0.737	0.0595694	1.36694e+43
8.01862e+19	52.1913	0.667848	3.52961e+18	0.746	0.0570462	1.30016e+43
8.20731e+19	54.1894	0.680555	3.60607e+18	0.756	0.0545503	1.22427e+43
8.40044e+19	56.2345	0.695939	3.69182e+18	0.764	0.0520694	1.16917e+43
8.59811e+19	58.3277	0.708957	3.76988e+18	0.774	0.0496049	1.09601e+43
8.80043e+19	60.4702	0.724678	3.85753e+18	0.782	0.047198	1.04251e+43
9.00751e+19	62.6631	0.739314	3.94177e+18	0.791	0.0448061	9.81088e+42
9.21947e+19	64.9076	0.755417	4.03151e+18	0.799	0.042486	9.29331e+42
9.43641e+19	67.2049	0.770447	4.1178e+18	0.808	0.0401664	8.7043e+42
9.65846e+19	69.5562	0.78697	4.20978e+18	0.816	0.0379361	8.20737e+42
9.88574e+19	71.9629	0.802431	4.29825e+18	0.825	0.0356926	7.64627e+42
1.01184e+20	74.4262	0.81941	4.3926e+18	0.833	0.0335545	7.17242e+42
1.03565e+20	76.9475	0.836635	4.48822e+18	0.841	0.0314661	6.7095e+42
1.06002e+20	79.5282	0.854114	4.58516e+18	0.849	0.0294275	6.25789e+42
1.08496e+20	82.1695	0.871856	4.68343e+18	0.857	0.0274386	5.81793e+42
1.11049e+20	84.873	0.891189	4.78815e+18	0.864	0.0255899	5.45114e+42
1.13662e+20	87.6401	0.909493	4.88929e+18	0.872	0.0237052	5.03278e+42
1.16337e+20	90.4723	0.929421	4.9971e+18	0.879	0.0219683	4.6836e+42
1.19074e+20	93.3712	0.949666	5.10655e+18	0.886	0.0202878	4.34255e+42
1.21876e+20	96.3383	0.968883	5.21231e+18	0.894	0.0185579	3.95686e+42
1.24744e+20	99.3752	0.991143	5.33055e+18	0.9	0.0170921	3.68556e+42
1.27679e+20	102.484	1.0124	5.44517e+18	0.907	0.015575	3.36991e+42
1.30684e+20	105.665	1.034	5.56161e+18	0.914	0.0141103	3.06294e+42
1.33759e+20	108.921	1.05737	5.68561e+18	0.92	0.0128105	2.81062e+42
1.36906e+20	112.254	1.08115	5.81169e+18	0.926	0.0115639	2.56388e+42
1.40128e+20	115.666	1.10533	5.9399e+18	0.932	0.010369	2.32281e+42
1.43425e+20	119.158	1.13138	6.0763e+18	0.937	0.00933909	2.12941e+42
1.468e+20	122.731	1.15643	6.209e+18	0.943	0.00824375	1.89852e+42
1.50254e+20	126.389	1.18341	6.35021e+18	0.948	0.00731019	1.71296e+42
1.5379e+20	130.133	1.21088	6.49396e+18	0.953	0.00642203	1.53089e+42
1.57409e+20	133.966	1.23884	6.64031e+18	0.958	0.00557759	1.35239e+42
1.61113e+20	137.888	1.26887	6.79593e+18	0.962	0.00488675	1.21403e+42
