log(E/eV)	z/pc	t/yr	Synchr	IC	IC - IR	SSC
-6	10	32.7213	36.8267	0	0	0
-5.2069	10	32.7213	37.262	0	0	26.6188
-4.41379	10	32.7213	37.6659	0	0	28.0085
-3.62069	10	32.7213	38.0502	0	21.9077	29.103
-2.82759	10	32.7213	38.4214	0	24.9884	29.9629
-2.03448	10	32.7213	38.7929	0	27.4188	30.6609
-1.24138	10	32.7213	39.1867	23.4338	29.5165	31.2663
-0.448276	10	32.7213	39.5937	26.0067	30.9658	31.8071
0.344828	10	32.7213	39.9759	28.3141	32.0831	32.317
1.13793	10	32.7213	40.3022	30.2464	32.9281	32.799
1.93103	10	32.7213	40.5423	31.581	33.5661	33.2663
2.72414	10	32.7213	40.6893	32.6254	34.0757	33.7161
3.51724	10	32.7213	40.7597	33.4079	34.5139	34.1645
4.31034	10	32.7213	40.7722	33.9907	34.9417	34.5843
5.10345	10	32.7213	40.7355	34.4902	35.3458	35.0217
5.89655	10	32.7213	40.6681	34.9175	35.7315	35.4255
6.68966	10	32.7213	40.5511	35.3368	36.112	35.8073
7.48276	10	32.7213	40.3227	35.6742	36.4596	36.1585
8.27586	10	32.7213	39.888	36.0212	36.9418	36.4791
9.06897	10	32.7213	39.0526	36.2913	37.3	36.7709
9.86207	10	32.7213	37.2911	36.5319	37.5581	37.0099
10.6552	10	32.7213	34.8521	36.6056	37.8713	37.1174
11.4483	10	32.7213	29.8221	35.9413	37.7877	37.0418
12.2414	10	32.7213	10.5568	34.6073	37.4704	36.68
13.0345	10	32.7213	-114.594	32.7991	36.5078	36.2039
13.8276	10	32.7213	0	30.8642	34.83	35.3885
14.6207	10	32.7213	0	28.1062	32.1406	33.6611
15.4138	10	32.7213	0	20.1857	24.232	26.6558
16.2069	10	32.7213	0	0	0	0
17	10	32.7213	0	0	0	0
-5.45569	10.2353	4.95522	39.0993	0	0	0
-4.66259	10.2353	4.95522	39.5317	0	0	29.1094
-3.86948	10.2353	4.95522	39.9341	0	0	30.4677
-3.07638	10.2353	4.95522	40.317	0	26.2223	31.5178
-2.28328	10.2353	4.95522	40.6834	0	29.0969	32.3517
-1.49017	10.2353	4.95522	41.0365	0	31.3392	33.0366
-0.697068	10.2353	4.95522	41.3753	27.5031	32.9537	33.6344
0.0960353	10.2353	4.95522	41.6675	30.0259	34.1179	34.1698
0.889139	10.2353	4.95522	41.8731	32.1326	35.0021	34.6735
1.68224	10.2353	4.95522	41.9997	33.5807	35.6922	35.1461
2.47535	10.2353	4.95522	42.0704	34.6664	36.2195	35.5986
3.26845	10.2353	4.95522	42.1052	35.4909	36.6812	36.0247
4.06155	10.2353	4.95522	42.1142	36.1207	37.1222	36.4421
4.85466	10.2353	4.95522	42.097	36.6481	37.5129	36.8006
5.64776	10.2353	4.95522	42.0469	37.1011	37.892	37.1865
6.44086	10.2353	4.95522	41.9743	37.514	38.2771	37.5279
7.23397	10.2353	4.95522	41.8549	37.8913	38.6074	37.8482
8.02707	10.2353	4.95522	41.6246	38.2985	38.9143	38.1381
8.82017	10.2353	4.95522	41.188	38.6134	39.2197	38.3983
9.61328	10.2353	4.95522	40.3505	38.844	39.3354	38.6035
10.4064	10.2353	4.95522	38.573	38.9799	39.4295	38.7069
11.1995	10.2353	4.95522	36.0759	38.9227	39.4126	38.6263
11.9926	10.2353	4.95522	31.0472	38.3499	39.3305	38.4234
12.7857	10.2353	4.95522	11.3036	36.9901	39.1193	38.0411
13.5788	10.2353	4.95522	-116.817	35.1935	38.4437	37.5824
14.3719	10.2353	4.95522	0	33.2661	37.1095	36.7767
15.165	10.2353	4.95522	0	30.5069	34.5151	35.0532
15.9581	10.2353	4.95522	0	22.5869	26.6418	28.0497
16.7512	10.2353	4.95522	0	0	0	0
17.5443	10.2353	4.95522	0	0	0	0
-5.34792	10.4762	3.13011	39.4694	0	0	0
-4.55481	10.4762	3.13011	39.8989	0	0	29.5455
-3.76171	10.4762	3.13011	40.2995	0	0	30.8742
-2.96861	10.4762	3.13011	40.6795	0	27.0929	31.8779
-2.1755	10.4762	3.13011	41.0372	0	29.9397	32.6844
-1.3824	10.4762	3.13011	41.3671	0	32.1239	33.3551
-0.589296	10.4762	3.13011	41.6637	28.3502	33.6286	33.9442
0.203807	10.4762	3.13011	41.9051	30.8553	34.7038	34.4731
0.996911	10.4762	3.13011	42.0643	32.8848	35.5123	34.9699
1.79001	10.4762	3.13011	42.159	34.2368	36.1608	35.4346
2.58312	10.4762	3.13011	42.2118	35.2298	36.6639	35.877
3.37622	10.4762	3.13011	42.2379	35.9886	37.1167	36.2888
4.16932	10.4762	3.13011	42.2428	36.5767	37.5578	36.6896
4.96243	10.4762	3.13011	42.2237	37.0841	37.9569	37.0217
5.75553	10.4762	3.13011	42.1726	37.5295	38.3187	37.3896
6.54863	10.4762	3.13011	42.0998	37.9425	38.6913	37.7077
7.34174	10.4762	3.13011	41.98	38.3062	38.9773	38.0033
8.13484	10.4762	3.13011	41.7485	38.7163	39.2257	38.2644
8.92795	10.4762	3.13011	41.3104	39.007	39.4483	38.4923
9.72105	10.4762	3.13011	40.4709	39.1978	39.5559	38.6593
10.5142	10.4762	3.13011	38.6792	39.2715	39.6122	38.7206
11.3073	10.4762	3.13011	36.1203	39.1553	39.5917	38.6166
12.1004	10.4762	3.13011	31.0929	38.6601	39.5092	38.4195
12.8935	10.4762	3.13011	10.8598	37.3301	39.2745	38.06
13.6866	10.4762	3.13011	-120.3	35.5452	38.6943	37.6203
14.4797	10.4762	3.13011	0	33.6248	37.4361	36.8268
15.2728	10.4762	3.13011	0	30.8701	34.8591	35.1095
16.0659	10.4762	3.13011	0	22.95	26.9898	28.1089
16.859	10.4762	3.13011	0	0	0	0
17.6521	10.4762	3.13011	0	0	0	0
-5.30129	10.7227	2.5814	39.6619	0	0	0
-4.50819	10.7227	2.5814	40.089	0	0	29.8236
-3.71508	10.7227	2.5814	40.488	0	0	31.1349
-2.92198	10.7227	2.5814	40.8649	0	27.5373	32.1088
-2.12888	10.7227	2.5814	41.215	0	30.3721	32.8972
-1.33577	10.7227	2.5814	41.5291	0	32.527	33.558
-0.542669	10.7227	2.5814	41.803	28.7858	33.9826	34.1407
0.250434	10.7227	2.5814	42.0214	31.2817	35.0071	34.6647
1.04354	10.7227	2.5814	42.1623	33.2723	35.7761	35.1567
1.83664	10.7227	2.5814	42.2456	34.5802	36.4032	35.616
2.62974	10.7227	2.5814	42.2924	35.5214	36.8941	36.0518
3.42285	10.7227	2.5814	42.3155	36.2469	37.3423	36.4549
4.21595	10.7227	2.5814	42.319	36.8159	37.7825	36.8462
5.00906	10.7227	2.5814	42.299	37.313	38.1845	37.1645
5.80216	10.7227	2.5814	42.2474	37.7538	38.5352	37.5224
6.59526	10.7227	2.5814	42.1746	38.1667	38.8972	37.8277
7.38837	10.7227	2.5814	42.0544	38.5231	39.1577	38.1096
8.18147	10.7227	2.5814	41.8217	38.9281	39.3782	38.3553
8.97457	10.7227	2.5814	41.382	39.2024	39.5674	38.5667
9.76768	10.7227	2.5814	40.5408	39.3709	39.6817	38.7158
10.5608	10.7227	2.5814	38.7365	39.4178	39.7148	38.76
11.3539	10.7227	2.5814	36.112	39.2883	39.6976	38.65
12.147	10.7227	2.5814	31.0858	38.8204	39.616	38.4584
12.9401	10.7227	2.5814	10.3517	37.5079	39.3796	38.1109
13.7332	10.7227	2.5814	-123.92	35.7302	38.8335	37.6812
14.5263	10.7227	2.5814	0	33.8132	37.6056	36.8957
15.3194	10.7227	2.5814	0	31.0593	35.0379	35.1832
16.1125	10.7227	2.5814	0	23.138	27.1718	28.1854
16.9056	10.7227	2.5814	0	0	0	0
17.6987	10.7227	2.5814	0	0	0	0
-5.26358	10.975	2.21106	39.7866	0	0	0
-4.47048	10.975	2.21106	40.2116	0	0	29.9871
-3.67738	10.975	2.21106	40.6088	0	0	31.2852
-2.88427	10.975	2.21106	40.9824	0	27.8692	32.2346
-2.09117	10.975	2.21106	41.3253	0	30.6944	33.0076
-1.29806	10.975	2.21106	41.6268	0	32.824	33.6597
-0.504962	10.975	2.21106	41.8847	29.1111	34.2407	34.2367
0.288142	10.975	2.21106	42.0882	31.5992	35.2224	34.7563
1.08125	10.975	2.21106	42.2179	33.5563	35.9602	35.2439
1.87435	10.975	2.21106	42.2945	34.8293	36.5701	35.6986
2.66745	10.975	2.21106	42.3378	35.7279	37.0514	36.1289
3.46056	10.975	2.21106	42.3593	36.4273	37.4957	36.525
4.25366	10.975	2.21106	42.3619	36.9817	37.9345	36.9089
5.04676	10.975	2.21106	42.3413	37.4706	38.3378	37.2171
5.83987	10.975	2.21106	42.2891	37.9073	38.6778	37.5674
6.63297	10.975	2.21106	42.2163	38.3194	39.0314	37.8632
7.42607	10.975	2.21106	42.0957	38.6695	39.2725	38.1348
8.21918	10.975	2.21106	41.8619	39.0673	39.4753	38.3696
9.01228	10.975	2.21106	41.4205	39.329	39.6433	38.5695
9.80538	10.975	2.21106	40.5776	39.4819	39.765	38.7068
10.5985	10.975	2.21106	38.7623	39.5123	39.7789	38.7405
11.3916	10.975	2.21106	36.0685	39.3811	39.767	38.6282
12.1847	10.975	2.21106	31.0435	38.9319	39.6871	38.4409
12.9778	10.975	2.21106	9.79674	37.6364	39.4529	38.1021
13.7709	10.975	2.21106	-127.659	35.8655	38.9301	37.6793
14.564	10.975	2.21106	0	33.951	37.7261	36.9002
15.3571	10.975	2.21106	0	31.1972	35.1671	35.192
16.1502	10.975	2.21106	0	23.2746	27.3045	28.1969
16.9433	10.975	2.21106	0	0	0	0
17.7364	10.975	2.21106	0	0	0	0
-5.23633	11.2332	1.98554	39.8736	0	0	0
-4.44323	11.2332	1.98554	40.2968	0	0	30.0979
-3.65013	11.2332	1.98554	40.6922	0	0	31.3869
-2.85702	11.2332	1.98554	41.0628	0	28.1099	32.3186
-2.06392	11.2332	1.98554	41.3999	0	30.9283	33.0802
-1.27082	11.2332	1.98554	41.6921	0	33.0386	33.7256
-0.477713	11.2332	1.98554	41.9392	29.3474	34.4277	34.2981
0.31539	11.2332	1.98554	42.1329	31.8296	35.3779	34.8141
1.10849	11.2332	1.98554	42.2556	33.7615	36.0936	35.2983
1.9016	11.2332	1.98554	42.328	35.0095	36.6912	35.7493
2.6947	11.2332	1.98554	42.3692	35.8775	37.1657	36.1754
3.4878	11.2332	1.98554	42.3896	36.5585	37.607	36.5662
4.28091	11.2332	1.98554	42.3915	37.1029	38.0443	36.9448
5.07401	11.2332	1.98554	42.3704	37.5859	38.4478	37.2458
5.86711	11.2332	1.98554	42.3177	38.0195	38.7791	37.5905
6.66022	11.2332	1.98554	42.2449	38.4305	39.1268	37.8795
7.45332	11.2332	1.98554	42.1238	38.7758	39.3541	38.144
8.24642	11.2332	1.98554	41.8887	39.1664	39.5461	38.3712
9.03953	11.2332	1.98554	41.4458	39.4196	39.7014	38.5635
9.83263	11.2332	1.98554	40.6013	39.5618	39.8274	38.6931
10.6257	11.2332	1.98554	38.7763	39.582	39.8279	38.7203
11.4188	11.2332	1.98554	36.0097	39.4529	39.8209	38.607
12.2119	11.2332	1.98554	30.9859	39.0152	39.7428	38.423
13.005	11.2332	1.98554	9.2143	37.7335	39.5116	38.0899
13.7981	11.2332	1.98554	-131.501	35.9678	39.0033	37.672
14.5913	11.2332	1.98554	0	34.0548	37.8164	36.8976
15.3844	11.2332	1.98554	0	31.3008	35.2645	35.1927
16.1775	11.2332	1.98554	0	23.3772	27.4051	28.2
16.9706	11.2332	1.98554	0	0	0	0
17.7637	11.2332	1.98554	0	0	0	0
-5.21265	11.4976	1.81088	39.9335	0	0	0
-4.41955	11.4976	1.81088	40.355	0	0	30.1589
-3.62645	11.4976	1.81088	40.7487	0	0	31.4408
-2.83334	11.4976	1.81088	41.1166	0	28.3014	32.3584
-2.04024	11.4976	1.81088	41.4487	0	31.1141	33.1106
-1.24714	11.4976	1.81088	41.7336	0	33.207	33.7504
-0.454032	11.4976	1.81088	41.9727	29.5353	34.5729	34.3191
0.339071	11.4976	1.81088	42.1594	32.0123	35.4966	34.832
1.13217	11.4976	1.81088	42.2772	33.9217	36.1947	35.3133
1.92528	11.4976	1.81088	42.3467	35.1489	36.7821	35.7612
2.71838	11.4976	1.81088	42.3864	35.9919	37.2512	36.1838
3.51148	11.4976	1.81088	42.4059	36.6582	37.6898	36.5705
4.30459	11.4976	1.81088	42.4073	37.1946	38.1255	36.9448
