Log(E/eV)	z [pc]	tobs [yr]	Synchr	IC	IC - IR	Esc	Acc	Ad
6	10	0	-14.4525	-14.7676	-15.0659	-7.47692	3.02689	-9.18923
6.10101	10	0	-14.3515	-14.6353	-14.9336	-7.47692	2.92588	-9.18923
6.20202	10	0	-14.2504	-14.5156	-14.8138	-7.47692	2.82487	-9.18923
6.30303	10	0	-14.1494	-14.4037	-14.7019	-7.47692	2.72386	-9.18923
6.40404	10	0	-14.0484	-14.2969	-14.5951	-7.47692	2.62285	-9.18923
6.50505	10	0	-13.9474	-14.1933	-14.4914	-7.47692	2.52184	-9.18923
6.60606	10	0	-13.8464	-14.0919	-14.3899	-7.47692	2.42083	-9.18923
6.70707	10	0	-13.7454	-13.9919	-14.2898	-7.47692	2.31982	-9.18923
6.80808	10	0	-13.6444	-13.8928	-14.1906	-7.47692	2.21881	-9.18923
6.90909	10	0	-13.5434	-13.7945	-14.0921	-7.47692	2.1178	-9.18923
7.0101	10	0	-13.4424	-13.6966	-13.994	-7.47692	2.01679	-9.18923
7.11111	10	0	-13.3414	-13.5992	-13.8963	-7.47692	1.91578	-9.18923
7.21212	10	0	-13.2403	-13.5021	-13.7988	-7.47692	1.81477	-9.18923
7.31313	10	0	-13.1393	-13.4053	-13.7016	-7.47692	1.71376	-9.18923
7.41414	10	0	-13.0383	-13.3087	-13.6044	-7.47692	1.61275	-9.18923
7.51515	10	0	-12.9373	-13.2125	-13.5075	-7.47692	1.51174	-9.18923
7.61616	10	0	-12.8363	-13.1165	-13.4106	-7.47692	1.41073	-9.18923
7.71717	10	0	-12.7353	-13.0208	-13.3138	-7.47692	1.30972	-9.18923
7.81818	10	0	-12.6343	-12.9256	-13.2171	-7.47692	1.20871	-9.18923
7.91919	10	0	-12.5333	-12.8307	-13.1205	-7.47692	1.1077	-9.18923
8.0202	10	0	-12.4323	-12.7364	-13.0239	-7.47692	1.00669	-9.18923
8.12121	10	0	-12.3313	-12.6427	-12.9274	-7.47692	0.905679	-9.18923
8.22222	10	0	-12.2302	-12.5497	-12.8309	-7.47692	0.804669	-9.18923
8.32323	10	0	-12.1292	-12.4577	-12.7345	-7.47692	0.703658	-9.18923
8.42424	10	0	-12.0282	-12.3668	-12.638	-7.47692	0.602648	-9.18923
8.52525	10	0	-11.9272	-12.2773	-12.5417	-7.47692	0.501638	-9.18923
8.62626	10	0	-11.8262	-12.1894	-12.4453	-7.47692	0.400628	-9.18923
8.72727	10	0	-11.7252	-12.1034	-12.349	-7.47692	0.299618	-9.18923
8.82828	10	0	-11.6242	-12.0199	-12.2527	-7.47692	0.198608	-9.18923
8.92929	10	0	-11.5232	-11.9392	-12.1565	-7.47692	0.0975978	-9.18923
9.0303	10	0	-11.4222	-11.8618	-12.0603	-7.47692	-0.00341226	-9.18923
9.13131	10	0	-11.3212	-11.7881	-11.9641	-7.47692	-0.104422	-9.18923
9.23232	10	0	-11.2201	-11.7189	-11.868	-7.47692	-0.205432	-9.18923
9.33333	10	0	-11.1191	-11.6544	-11.7719	-7.47692	-0.306443	-9.18923
9.43434	10	0	-11.0181	-11.5954	-11.6759	-7.47692	-0.407453	-9.18923
9.53535	10	0	-10.9171	-11.5423	-11.58	-7.47692	-0.508463	-9.18923
9.63636	10	0	-10.8161	-11.4955	-11.4843	-7.47692	-0.609473	-9.18923
9.73737	10	0	-10.7151	-11.4554	-11.3886	-7.47692	-0.710483	-9.18923
9.83838	10	0	-10.6141	-11.4222	-11.2932	-7.47692	-0.811493	-9.18923
9.93939	10	0	-10.5131	-11.3963	-11.1981	-7.47692	-0.912503	-9.18923
10.0404	10	0	-10.4121	-11.3777	-11.1032	-7.47692	-1.01351	-9.18923
10.1414	10	0	-10.3111	-11.3665	-11.0088	-7.47692	-1.11452	-9.18923
10.2424	10	0	-10.21	-11.3628	-10.9148	-7.47692	-1.21553	-9.18923
10.3434	10	0	-10.109	-11.3664	-10.8215	-7.47692	-1.31654	-9.18923
10.4444	10	0	-10.008	-11.3774	-10.7289	-7.47692	-1.41755	-9.18923
10.5455	10	0	-9.90701	-11.3955	-10.6373	-7.47692	-1.51856	-9.18923
10.6465	10	0	-9.806	-11.4205	-10.547	-7.47692	-1.61957	-9.18923
10.7475	10	0	-9.70499	-11.4522	-10.458	-7.47692	-1.72058	-9.18923
10.8485	10	0	-9.60398	-11.4904	-10.3709	-7.47692	-1.82159	-9.18923
10.9495	10	0	-9.50297	-11.5347	-10.286	-7.47692	-1.9226	-9.18923
11.0505	10	0	-9.40196	-11.5848	-10.2036	-7.47692	-2.02361	-9.18923
11.1515	10	0	-9.30095	-11.6403	-10.1243	-7.47692	-2.12462	-9.18923
11.2525	10	0	-9.19994	-11.701	-10.0486	-7.47692	-2.22563	-9.18923
11.3535	10	0	-9.09893	-11.7663	-9.97699	-7.47692	-2.32664	-9.18923
11.4545	10	0	-8.99792	-11.8359	-9.91008	-7.47692	-2.42765	-9.18923
11.5556	10	0	-8.89691	-11.9096	-9.84843	-7.47692	-2.52866	-9.18923
11.6566	10	0	-8.7959	-11.9868	-9.79256	-7.47692	-2.62967	-9.18923
11.7576	10	0	-8.69489	-12.0674	-9.74297	-7.47692	-2.73068	-9.18923
