log(E / eV)	log(z / pc)	t / yr	 logQ
6	1	0	49.2222
6.10101	1	0	49.4708
6.20202	1	0	49.6259
6.30303	1	0	49.7069
6.40404	1	0	49.7292
6.50505	1	0	49.7049
6.60606	1	0	49.6437
6.70707	1	0	49.5533
6.80808	1	0	49.4397
6.90909	1	0	49.3078
7.0101	1	0	49.1614
7.11111	1	0	49.0034
7.21212	1	0	48.8362
7.31313	1	0	48.6619
7.41414	1	0	48.4818
7.51515	1	0	48.2971
7.61616	1	0	48.1088
7.71717	1	0	47.9177
7.81818	1	0	47.7244
7.91919	1	0	47.5292
8.0202	1	0	47.3326
8.12121	1	0	47.1349
8.22222	1	0	46.9363
8.32323	1	0	46.7369
8.42424	1	0	46.5371
8.52525	1	0	46.3367
8.62626	1	0	46.1361
8.72727	1	0	45.9351
8.82828	1	0	45.7339
8.92929	1	0	45.5326
9.0303	1	0	45.3311
9.13131	1	0	45.1295
9.23232	1	0	44.9278
9.33333	1	0	44.726
9.43434	1	0	44.5242
9.53535	1	0	44.3224
9.63636	1	0	44.1205
9.73737	1	0	43.9186
9.83838	1	0	43.7166
9.93939	1	0	43.5147
10.0404	1	0	43.3127
10.1414	1	0	43.1107
10.2424	1	0	42.9087
10.3434	1	0	42.7067
10.4444	1	0	42.5047
10.5455	1	0	42.3027
10.6465	1	0	42.1007
10.7475	1	0	41.8987
10.8485	1	0	41.6967
10.9495	1	0	41.4946
11.0505	1	0	41.2926
11.1515	1	0	41.0906
11.2525	1	0	40.8885
11.3535	1	0	40.6865
11.4545	1	0	40.4844
11.5556	1	0	40.2823
11.6566	1	0	40.0802
11.7576	1	0	39.8781
11.8586	1	0	39.676
11.9596	1	0	39.4738
12.0606	1	0	39.2716
12.1616	1	0	39.0693
12.2626	1	0	38.867
12.3636	1	0	38.6646
12.4646	1	0	38.4621
12.5657	1	0	38.2595
12.6667	1	0	38.0567
12.7677	1	0	37.8537
12.8687	1	0	37.6505
12.9697	1	0	37.447
13.0707	1	0	37.243
13.1717	1	0	37.0385
13.2727	1	0	36.8334
13.3737	1	0	36.6275
13.4747	1	0	36.4206
13.5758	1	0	36.2124
13.6768	1	0	36.0026
13.7778	1	0	35.7908
13.8788	1	0	35.5763
13.9798	1	0	35.3586
14.0808	1	0	35.1368
14.1818	1	0	34.9099
14.2828	1	0	34.6764
14.3838	1	0	34.4346
14.4848	1	0	34.1825
14.5859	1	0	33.9172
14.6869	1	0	33.6354
14.7879	1	0	33.3327
14.8889	1	0	33.0036
14.9899	1	0	32.6412
15.0909	1	0	32.2369
15.1919	1	0	31.7795
15.2929	1	0	31.2553
15.3939	1	0	30.6468
15.4949	1	0	29.9318
15.596	1	0	29.0824
15.697	1	0	28.0636
15.798	1	0	26.8308
15.899	1	0	25.3282
16	1	0	23.485
6	1.01426	0.417369	48.9772
6.10101	1.01426	0.417369	49.2258
6.20202	1.01426	0.417369	49.3809
6.30303	1.01426	0.417369	49.4619
6.40404	1.01426	0.417369	49.4842
6.50505	1.01426	0.417369	49.4599
6.60606	1.01426	0.417369	49.3987
6.70707	1.01426	0.417369	49.3083
6.80808	1.01426	0.417369	49.1947
6.90909	1.01426	0.417369	49.0628
7.0101	1.01426	0.417369	48.9164
7.11111	1.01426	0.417369	48.7584
7.21212	1.01426	0.417369	48.5912
7.31313	1.01426	0.417369	48.4169
7.41414	1.01426	0.417369	48.2367
7.51515	1.01426	0.417369	48.0521
7.61616	1.01426	0.417369	47.8638
7.71717	1.01426	0.417369	47.6727
7.81818	1.01426	0.417369	47.4793
7.91919	1.01426	0.417369	47.2842
8.0202	1.01426	0.417369	47.0876
8.12121	1.01426	0.417369	46.8899
8.22222	1.01426	0.417369	46.6912
8.32323	1.01426	0.417369	46.4919
8.42424	1.01426	0.417369	46.292
8.52525	1.01426	0.417369	46.0917
8.62626	1.01426	0.417369	45.891
8.72727	1.01426	0.417369	45.6901
8.82828	1.01426	0.417369	45.4889
8.92929	1.01426	0.417369	45.2876
9.0303	1.01426	0.417369	45.0861
9.13131	1.01426	0.417369	44.8845
9.23232	1.01426	0.417369	44.6828
9.33333	1.01426	0.417369	44.481
9.43434	1.01426	0.417369	44.2792
9.53535	1.01426	0.417369	44.0774
9.63636	1.01426	0.417369	43.8755
9.73737	1.01426	0.417369	43.6736
9.83838	1.01426	0.417369	43.4716
9.93939	1.01426	0.417369	43.2697
10.0404	1.01426	0.417369	43.0677
10.1414	1.01426	0.417369	42.8657
10.2424	1.01426	0.417369	42.6637
10.3434	1.01426	0.417369	42.4617
10.4444	1.01426	0.417369	42.2597
10.5455	1.01426	0.417369	42.0577
10.6465	1.01426	0.417369	41.8557
10.7475	1.01426	0.417369	41.6537
10.8485	1.01426	0.417369	41.4517
