log(E / eV)	log(z / pc)	t / yr	 logQ
6	1.69897	0	56.9157
6.10101	1.69897	0	57.1556
6.20202	1.69897	0	57.3037
6.30303	1.69897	0	57.3792
6.40404	1.69897	0	57.3972
6.50505	1.69897	0	57.3696
6.60606	1.69897	0	57.3059
6.70707	1.69897	0	57.2135
6.80808	1.69897	0	57.0984
6.90909	1.69897	0	56.9653
7.0101	1.69897	0	56.8179
7.11111	1.69897	0	56.6591
7.21212	1.69897	0	56.4914
7.31313	1.69897	0	56.3166
7.41414	1.69897	0	56.1361
7.51515	1.69897	0	55.9512
7.61616	1.69897	0	55.7627
7.71717	1.69897	0	55.5714
7.81818	1.69897	0	55.3779
7.91919	1.69897	0	55.1826
8.0202	1.69897	0	54.9859
8.12121	1.69897	0	54.7881
8.22222	1.69897	0	54.5895
8.32323	1.69897	0	54.3901
8.42424	1.69897	0	54.1902
8.52525	1.69897	0	53.9898
8.62626	1.69897	0	53.7891
8.72727	1.69897	0	53.5882
8.82828	1.69897	0	53.387
8.92929	1.69897	0	53.1856
9.0303	1.69897	0	52.9841
9.13131	1.69897	0	52.7825
9.23232	1.69897	0	52.5808
9.33333	1.69897	0	52.379
9.43434	1.69897	0	52.1772
9.53535	1.69897	0	51.9754
9.63636	1.69897	0	51.7735
9.73737	1.69897	0	51.5716
9.83838	1.69897	0	51.3696
9.93939	1.69897	0	51.1677
10.0404	1.69897	0	50.9657
10.1414	1.69897	0	50.7637
10.2424	1.69897	0	50.5617
10.3434	1.69897	0	50.3597
10.4444	1.69897	0	50.1577
10.5455	1.69897	0	49.9557
10.6465	1.69897	0	49.7537
10.7475	1.69897	0	49.5517
10.8485	1.69897	0	49.3497
10.9495	1.69897	0	49.1477
11.0505	1.69897	0	48.9456
11.1515	1.69897	0	48.7436
11.2525	1.69897	0	48.5416
11.3535	1.69897	0	48.3395
11.4545	1.69897	0	48.1375
11.5556	1.69897	0	47.9355
11.6566	1.69897	0	47.7334
11.7576	1.69897	0	47.5313
11.8586	1.69897	0	47.3293
11.9596	1.69897	0	47.1272
12.0606	1.69897	0	46.9251
12.1616	1.69897	0	46.7229
12.2626	1.69897	0	46.5208
12.3636	1.69897	0	46.3186
12.4646	1.69897	0	46.1163
12.5657	1.69897	0	45.9139
12.6667	1.69897	0	45.7115
12.7677	1.69897	0	45.5087
12.8687	1.69897	0	45.3053
12.9697	1.69897	0	45.1001
13.0707	1.69897	0	44.8915
13.1717	1.69897	0	44.6773
13.2727	1.69897	0	44.4553
13.3737	1.69897	0	44.2236
13.4747	1.69897	0	43.9811
13.5758	1.69897	0	43.7276
13.6768	1.69897	0	43.4631
13.7778	1.69897	0	43.1881
13.8788	1.69897	0	42.9031
13.9798	1.69897	0	42.6086
14.0808	1.69897	0	42.3052
14.1818	1.69897	0	41.993
14.2828	1.69897	0	41.6719
14.3838	1.69897	0	41.3418
14.4848	1.69897	0	41.0018
14.5859	1.69897	0	40.6512
14.6869	1.69897	0	40.2885
14.7879	1.69897	0	39.912
14.8889	1.69897	0	39.5193
14.9899	1.69897	0	39.1075
15.0909	1.69897	0	38.6729
15.1919	1.69897	0	38.2108
15.2929	1.69897	0	37.7154
15.3939	1.69897	0	37.1794
15.4949	1.69897	0	36.5938
15.596	1.69897	0	35.9469
15.697	1.69897	0	35.2236
15.798	1.69897	0	34.4007
15.899	1.69897	0	33.4188
16	1.69897	0	-inf
6	1.70511	0.582132	57.2225
6.10101	1.70511	0.582132	57.3936
6.20202	1.70511	0.582132	57.4929
6.30303	1.70511	0.582132	57.5331
6.40404	1.70511	0.582132	57.5252
6.50505	1.70511	0.582132	57.4784
6.60606	1.70511	0.582132	57.4001
6.70707	1.70511	0.582132	57.2966
6.80808	1.70511	0.582132	57.173
6.90909	1.70511	0.582132	57.0333
7.0101	1.70511	0.582132	56.8808
7.11111	1.70511	0.582132	56.7181
7.21212	1.70511	0.582132	56.5473
7.31313	1.70511	0.582132	56.37
7.41414	1.70511	0.582132	56.1876
7.51515	1.70511	0.582132	56.0012
7.61616	1.70511	0.582132	55.8115
7.71717	1.70511	0.582132	55.6192
7.81818	1.70511	0.582132	55.425
7.91919	1.70511	0.582132	55.2291
8.0202	1.70511	0.582132	55.032
8.12121	1.70511	0.582132	54.8338
8.22222	1.70511	0.582132	54.6349
8.32323	1.70511	0.582132	54.4353
8.42424	1.70511	0.582132	54.2352
8.52525	1.70511	0.582132	54.0347
