z [pc] 	t_lab [yr]	t_obs [yr]	Rc	g=Gc/Gj	Fe	Lnt
5	0	0	1.92704e+18	0.2	0.039936	9.70757e+40
5.24057	0.787163	0.709039	2.27572e+18	0.201	0.0367169	1.7988e+41
5.49271	1.6122	1.25965	2.62723e+18	0.205	0.0347622	3.29235e+41
5.75698	2.47693	1.34651	2.90717e+18	0.225	0.0380892	7.43014e+41
6.03396	3.38326	1.50276	3.17693e+18	0.241	0.0397467	1.04519e+42
6.32428	4.33321	1.65527	3.43998e+18	0.255	0.0404724	1.29686e+42
6.62856	5.32885	1.77878	3.69078e+18	0.269	0.0409569	1.51825e+42
6.94748	6.3724	1.89703	3.93894e+18	0.282	0.0409288	1.70401e+42
7.28174	7.46616	2.01459	4.18805e+18	0.294	0.0404489	1.85936e+42
7.63209	8.61254	2.11899	4.43293e+18	0.306	0.0398356	1.98935e+42
7.99929	9.81408	2.21305	4.67477e+18	0.318	0.0391045	2.09496e+42
8.38416	11.0734	2.31446	4.92371e+18	0.329	0.0380447	2.18029e+42
8.78755	12.3934	2.39366	5.16288e+18	0.341	0.0371365	2.24291e+42
9.21035	13.7768	2.48297	5.41168e+18	0.352	0.0359546	2.29067e+42
9.65349	15.2268	2.56795	5.66173e+18	0.363	0.0347358	2.32253e+42
10.1179	16.7466	2.66466	5.92437e+18	0.373	0.0333184	2.34574e+42
10.6048	18.3395	2.72835	6.16814e+18	0.385	0.0322264	2.34489e+42
11.115	20.009	2.8201	6.43708e+18	0.395	0.0308044	2.34494e+42
11.6498	21.7589	2.89528	6.69862e+18	0.406	0.0295389	2.32892e+42
12.2103	23.5929	2.96942	6.96434e+18	0.417	0.0282766	2.30424e+42
12.7977	25.5152	3.04295	7.23475e+18	0.428	0.0270232	2.27212e+42
13.4135	27.53	3.13083	7.52312e+18	0.438	0.0256756	2.24093e+42
14.0588	29.6417	3.18952	7.7917e+18	0.45	0.024563	2.18976e+42
14.7353	31.855	3.27761	8.09259e+18	0.46	0.0232727	2.14877e+42
15.4442	34.1749	3.35178	8.38711e+18	0.471	0.0221072	2.09669e+42
16.1873	36.6063	3.4268	8.68881e+18	0.482	0.0209695	2.04158e+42
16.9661	39.1547	3.48868	8.98385e+18	0.494	0.0199326	1.97683e+42
17.7824	41.8257	3.58023	9.31568e+18	0.504	0.0187868	1.92473e+42
18.638	44.6252	3.64494	9.62689e+18	0.516	0.0178036	1.85698e+42
19.5347	47.5595	3.72541	9.96189e+18	0.527	0.0167914	1.79547e+42
20.4746	50.6348	3.79375	1.0291e+19	0.539	0.0158633	1.72665e+42
21.4597	53.8582	3.878	1.06455e+19	0.55	0.0149191	1.66452e+42
22.4922	57.2367	3.96434	1.10107e+19	0.561	0.0140121	1.60245e+42
23.5743	60.7777	4.03917	1.13707e+19	0.573	0.0131775	1.53437e+42
24.7086	64.489	4.1165	1.17418e+19	0.585	0.0123726	1.46713e+42
25.8974	68.379	4.19643	1.21247e+19	0.597	0.0115979	1.4009e+42
27.1434	72.456	4.27911	1.25198e+19	0.609	0.0108537	1.33582e+42
28.4493	76.7293	4.36465	1.29278e+19	0.621	0.0101403	1.27202e+42
29.8181	81.2081	4.45317	1.33492e+19	0.633	0.0094576	1.20959e+42
31.2528	85.9025	4.5448	1.37847e+19	0.645	0.00880538	1.14861e+42
32.7564	90.8227	4.63967	1.42348e+19	0.657	0.00818334	1.08912e+42
34.3324	95.9796	4.72455	1.46813e+19	0.67	0.00760237	1.02629e+42
35.9843	101.385	4.82629	1.51625e+19	0.682	0.00703737	9.70077e+41
37.7156	107.05	4.91837	1.56407e+19	0.695	0.00650857	9.10896e+41
39.5302	112.987	5.02751	1.61556e+19	0.707	0.00599887	8.58018e+41
41.4321	119.211	5.12728	1.66683e+19	0.72	0.00552081	8.02487e+41
43.4256	125.734	5.2311	1.71991e+19	0.733	0.00506667	7.48841e+41
45.5149	132.57	5.35236	1.77702e+19	0.745	0.00463466	7.00978e+41
47.7048	139.736	5.46469	1.83401e+19	0.758	0.00422814	6.50864e+41
50	147.246	5.5815	1.89306e+19	0.771	0.00384389	6.02545e+41
Lnt total	7.68284e+43
