log(E/eV)	z/pc	tobs/yr	Synchr	IC	IC - IR	SSC
-6	10	0	35.153	0	0	0
-5.77778	10	0	35.2646	0	0	23.6324
-5.55556	10	0	35.3746	0	0	24.226
-5.33333	10	0	35.4914	0	0	24.7041
-5.11111	10	0	35.6044	0	0	25.1369
-4.88889	10	0	35.7138	0	0	25.5432
-4.66667	10	0	35.8296	0	0	25.9272
-4.44444	10	0	35.9436	0	0	26.2773
-4.22222	10	0	36.0505	0	0	26.5962
-4	10	0	36.1623	0	0	26.9005
-3.77778	10	0	36.2765	0	0	27.1917
-3.55556	10	0	36.3841	0	22.2626	27.4309
-3.33333	10	0	36.4949	0	23.2216	27.671
-3.11111	10	0	36.6112	0	24.0358	27.9082
-2.88889	10	0	36.7208	0	24.7874	28.1082
-2.66667	10	0	36.8291	0	25.5028	28.3068
-2.44444	10	0	36.9435	0	26.1934	28.5014
-2.22222	10	0	37.053	0	26.8644	28.6805
-2	10	0	37.1593	0	27.5167	28.8554
-1.77778	10	0	37.2738	0	28.1468	29.0244
-1.55556	10	0	37.3879	21.6014	28.7463	29.1967
-1.33333	10	0	37.4965	23.0672	29.3003	29.3491
-1.11111	10	0	37.6097	23.9051	29.7917	29.5009
-0.888889	10	0	37.7234	24.6428	30.2163	29.6612
-0.666667	10	0	37.8295	25.3403	30.5967	29.8044
-0.444444	10	0	37.9392	26.0169	30.9543	29.9516
-0.222222	10	0	38.0545	26.6798	31.2896	30.1018
2.89298e-16	10	0	38.1639	27.3306	31.5991	30.228
0.222222	10	0	38.2735	27.9677	31.8821	30.3805
0.444444	10	0	38.3888	28.5853	32.1411	30.5227
0.666667	10	0	38.4981	29.1722	32.3852	30.6592
0.888889	10	0	38.6035	29.7118	32.5965	30.795
1.11111	10	0	38.7156	30.1873	32.7827	30.9288
1.33333	10	0	38.8255	30.5996	32.9738	31.0651
1.55556	10	0	38.9294	30.9738	33.1435	31.1985
1.77778	10	0	39.0383	31.3261	33.2815	31.3276
2	10	0	39.1462	31.6567	33.4325	31.4661
2.22222	10	0	39.2428	31.9595	33.5753	31.5922
2.44444	10	0	39.338	32.2366	33.7171	31.7241
2.66667	10	0	39.432	32.4941	33.8336	31.8656
2.88889	10	0	39.511	32.7282	33.9714	31.9517
3.11111	10	0	39.5824	32.9357	34.1025	32.115
3.33333	10	0	39.6552	33.1179	34.2166	32.2398
3.55556	10	0	39.7125	33.3043	34.3288	32.3689
3.77778	10	0	39.7533	33.4772	34.4668	32.4894
4	10	0	39.7948	33.6149	34.5661	32.6227
4.22222	10	0	39.8248	33.7678	34.6788	32.747
4.44444	10	0	39.8306	33.9136	34.8278	32.8685
4.66667	10	0	39.8375	34.0467	34.8774	32.9953
4.88889	10	0	39.8503	34.1628	35.0254	33.117
5.11111	10	0	39.8426	34.2836	35.1293	33.2425
5.33333	10	0	39.8271	34.4188	35.2723	33.3606
5.55556	10	0	39.82	34.5213	35.3858	33.4832
5.77778	10	0	39.7894	34.6466	35.5007	33.6018
6	10	0	39.7341	34.7867	35.6311	33.7246
6.22222	10	0	39.6903	34.8597	35.7046	33.8289
6.44444	10	0	39.6368	35.0022	35.8477	33.9528
6.66667	10	0	39.5472	35.14	35.9479	34.0623
6.88889	10	0	39.4555	35.2072	36.068	34.1773
7.11111	10	0	39.354	35.3523	36.1628	34.2863
7.33333	10	0	39.1659	35.4217	36.3069	34.3872
7.55556	10	0	38.8685	35.5557	36.3771	34.5002
7.77778	10	0	38.5073	35.6096	36.4884	34.6002
8	10	0	38.0506	35.7676	36.6309	34.7073
8.22222	10	0	37.4105	35.7969	36.7613	34.8115
8.44444	10	0	36.2858	35.9522	36.8382	34.91
8.66667	10	0	34.2261	36.0238	36.9357	35.0054
8.88889	10	0	30.5927	36.1437	37.0704	35.0978
9.11111	10	0	24.3338	36.2009	37.167	35.2005
9.33333	10	0	13.6953	36.2521	37.3018	35.2912
9.55556	10	0	-4.24867	36.3069	37.346	35.3647
9.77778	10	0	-34.379	36.3763	37.4962	35.461
10	10	0	-84.8373	36.3535	37.5991	35.5486
10.2222	10	0	-169.205	36.4421	37.7581	35.6192
10.4444	10	0	0	36.3306	37.7728	35.7003
10.6667	10	0	0	36.4256	37.9146	35.7797
10.8889	10	0	0	36.2859	38.001	35.8086
11.1111	10	0	0	36.4747	38.0202	35.9056
11.3333	10	0	0	36.3355	38.1222	35.9401
11.5556	10	0	0	36.6023	38.1764	35.9961
11.7778	10	0	0	35.8255	38.2265	35.9944
12	10	0	0	35.6333	38.2247	36.0369
12.2222	10	0	0	35.8822	38.1955	36.0696
12.4444	10	0	0	35.7858	38.308	35.9759
12.6667	10	0	0	34.622	38.1299	35.9236
12.8889	10	0	0	34.7181	38.183	35.8075
13.1111	10	0	0	34.3673	37.8968	35.7249
13.3333	10	0	0	34.5855	37.9691	35.5991
13.5556	10	0	0	34.9612	37.046	35.4476
13.7778	10	0	0	32.6633	36.5893	35.2318
14	10	0	0	32.6678	36.5968	34.9933
14.2222	10	0	0	32.2191	36.1544	34.6746
14.4444	10	0	0	32.6543	36.4682	34.2078
14.6667	10	0	0	29.7413	33.7678	33.1543
14.8889	10	0	0	0	0	0
15.1111	10	0	0	0	0	0
15.3333	10	0	0	0	0	0
15.5556	10	0	0	0	0	0
15.7778	10	0	0	0	0	0
16	10	0	0	0	0	0
-5.59064	10.3339	0.285705	36.9972	0	0	0
-5.36842	10.3339	0.285705	37.108	0	0	25.7983
-5.1462	10.3339	0.285705	37.2182	0	0	26.3899
-4.92398	10.3339	0.285705	37.335	0	0	26.8654
-4.70175	10.3339	0.285705	37.4474	0	0	27.295
-4.47953	10.3339	0.285705	37.5568	0	0	27.6974
-4.25731	10.3339	0.285705	37.6729	0	0	28.075
-4.03509	10.3339	0.285705	37.7862	0	0	28.416
-3.81287	10.3339	0.285705	37.893	0	0	28.7221
-3.59064	10.3339	0.285705	38.0053	0	0	29.0153
-3.36842	10.3339	0.285705	38.1191	0	0	29.2973
-3.1462	10.3339	0.285705	38.2264	0	25.6801	29.5282
-2.92398	10.3339	0.285705	38.3378	0	26.5817	29.7607
-2.70175	10.3339	0.285705	38.4539	0	27.3487	29.9912
-2.47953	10.3339	0.285705	38.563	0	28.0619	30.1867
-2.25731	10.3339	0.285705	38.6717	0	28.7442	30.3809
-2.03509	10.3339	0.285705	38.7861	0	29.4029	30.5715
-1.81287	10.3339	0.285705	38.895	0	30.0375	30.7477
-1.59064	10.3339	0.285705	39.0016	0	30.6411	30.92
-1.36842	10.3339	0.285705	39.1165	0	31.2004	31.0867
-1.1462	10.3339	0.285705	39.23	24.8404	31.6978	31.257
-0.923977	10.3339	0.285705	39.3384	26.298	32.1263	31.4078
-0.701754	10.3339	0.285705	39.4516	27.1278	32.5058	31.5582
-0.479532	10.3339	0.285705	39.5644	27.8572	32.8597	31.717
-0.25731	10.3339	0.285705	39.6696	28.5451	33.1898	31.8593
-0.0350878	10.3339	0.285705	39.7788	29.2092	33.4931	32.0056
0.187134	10.3339	0.285705	39.8924	29.8539	33.767	32.1548
0.409357	10.3339	0.285705	39.999	30.4763	34.0187	32.2802
0.631579	10.3339	0.285705	40.1053	31.0678	34.2534	32.4321
0.853801	10.3339	0.285705	40.2155	31.613	34.4554	32.5735
1.07602	10.3339	0.285705	40.3165	32.0944	34.6496	32.7094
1.29825	10.3339	0.285705	40.411	32.5094	34.8276	32.8448
1.52047	10.3339	0.285705	40.509	32.8821	34.9938	32.9779
1.74269	10.3339	0.285705	40.599	33.2313	35.1435	33.1138
