Log(E/eV)	Synchr	IC	Diff	Acc	Ad
6	-14.4067	-10.7932	-19.5068	3.04977	-8.71211
6.10101	-14.3057	-10.6635	-19.4058	2.94876	-8.71211
6.20202	-14.2047	-10.5473	-19.3048	2.84775	-8.71211
6.30303	-14.1037	-10.4399	-19.2037	2.74674	-8.71211
6.40404	-14.0027	-10.3388	-19.1027	2.64573	-8.71211
6.50505	-13.9017	-10.2423	-19.0017	2.54472	-8.71211
6.60606	-13.8006	-10.1497	-18.9007	2.44371	-8.71211
6.70707	-13.6996	-10.0605	-18.7997	2.3427	-8.71211
6.80808	-13.5986	-9.97482	-18.6987	2.24169	-8.71211
6.90909	-13.4976	-9.8927	-18.5977	2.14068	-8.71211
7.0101	-13.3966	-9.81447	-18.4967	2.03967	-8.71211
7.11111	-13.2956	-9.74049	-18.3957	1.93866	-8.71211
7.21212	-13.1946	-9.67122	-18.2947	1.83765	-8.71211
7.31313	-13.0936	-9.60708	-18.1936	1.73664	-8.71211
7.41414	-12.9926	-9.54853	-18.0926	1.63563	-8.71211
7.51515	-12.8916	-9.49597	-17.9916	1.53462	-8.71211
7.61616	-12.7905	-9.44974	-17.8906	1.43361	-8.71211
7.71717	-12.6895	-9.41013	-17.7896	1.3326	-8.71211
7.81818	-12.5885	-9.37734	-17.6886	1.23159	-8.71211
7.91919	-12.4875	-9.35154	-17.5876	1.13058	-8.71211
8.0202	-12.3865	-9.33282	-17.4866	1.02957	-8.71211
8.12121	-12.2855	-9.32122	-17.3856	0.928557	-8.71211
8.22222	-12.1845	-9.31676	-17.2846	0.827547	-8.71211
8.32323	-12.0835	-9.31942	-17.1835	0.726537	-8.71211
8.42424	-11.9825	-9.32915	-17.0825	0.625527	-8.71211
8.52525	-11.8815	-9.34585	-16.9815	0.524517	-8.71211
8.62626	-11.7804	-9.3694	-16.8805	0.423507	-8.71211
8.72727	-11.6794	-9.39962	-16.7795	0.322497	-8.71211
8.82828	-11.5784	-9.43631	-16.6785	0.221487	-8.71211
8.92929	-11.4774	-9.47921	-16.5775	0.120477	-8.71211
9.0303	-11.3764	-9.52804	-16.4765	0.0194665	-8.71211
9.13131	-11.2754	-9.58246	-16.3755	-0.0815436	-8.71211
9.23232	-11.1744	-9.64214	-16.2745	-0.182554	-8.71211
9.33333	-11.0734	-9.70671	-16.1734	-0.283564	-8.71211
9.43434	-10.9724	-9.7758	-16.0724	-0.384574	-8.71211
9.53535	-10.8714	-9.84906	-15.9714	-0.485584	-8.71211
9.63636	-10.7703	-9.92611	-15.8704	-0.586594	-8.71211
9.73737	-10.6693	-10.0066	-15.7694	-0.687604	-8.71211
9.83838	-10.5683	-10.0902	-15.6684	-0.788614	-8.71211
9.93939	-10.4673	-10.1766	-15.5674	-0.889624	-8.71211
10.0404	-10.3663	-10.2656	-15.4664	-0.990635	-8.71211
10.1414	-10.2653	-10.3567	-15.3654	-1.09164	-8.71211
10.2424	-10.1643	-10.4498	-15.2644	-1.19265	-8.71211
10.3434	-10.0633	-10.5447	-15.1633	-1.29366	-8.71211
10.4444	-9.96226	-10.6411	-15.0623	-1.39467	-8.71211
10.5455	-9.86125	-10.7389	-14.9613	-1.49569	-8.71211
10.6465	-9.76024	-10.8378	-14.8603	-1.5967	-8.71211
10.7475	-9.65923	-10.9377	-14.7593	-1.69771	-8.71211
10.8485	-9.55822	-11.0385	-14.6583	-1.79872	-8.71211
10.9495	-9.45721	-11.14	-14.5573	-1.89973	-8.71211
11.0505	-9.3562	-11.2422	-14.4563	-2.00074	-8.71211
11.1515	-9.25519	-11.3449	-14.3553	-2.10175	-8.71211
11.2525	-9.15418	-11.4481	-14.2543	-2.20276	-8.71211
11.3535	-9.05317	-11.5516	-14.1532	-2.30377	-8.71211
11.4545	-8.95216	-11.6554	-14.0522	-2.40478	-8.71211
11.5556	-8.85115	-11.7595	-13.9512	-2.50579	-8.71211
11.6566	-8.75014	-11.8638	-13.8502	-2.6068	-8.71211
11.7576	-8.64913	-11.9682	-13.7492	-2.70781	-8.71211
11.8586	-8.54812	-12.0728	-13.6482	-2.80882	-8.71211
11.9596	-8.44711	-12.1775	-13.5472	-2.90983	-8.71211
12.0606	-8.3461	-12.2823	-13.4462	-3.01084	-8.71211
12.1616	-8.24509	-12.3871	-13.3452	-3.11185	-8.71211
12.2626	-8.14408	-12.492	-13.2441	-3.21286	-8.71211
12.3636	-8.04307	-12.5969	-13.1431	-3.31387	-8.71211
12.4646	-7.94206	-12.7019	-13.0421	-3.41488	-8.71211
