log(E/eV)	Synchr	IC	IC-Aux	SSC
-9.53421	40.5377	0	0	0
-9.27159	40.8056	0	0	35.8833
-9.00896	41.0364	0	0	36.5666
-8.74634	41.2323	0	0	37.1182
-8.48371	41.3971	0	0	37.6115
-8.22108	41.5235	0	0	38.0613
-7.95846	41.621	0	0	38.4541
-7.69583	41.7089	0	0	38.7925
-7.4332	41.7694	0	0	39.1
-7.17058	41.8107	0	0	39.3655
-6.90795	41.854	0	0	39.5976
-6.64532	41.8709	0	0	39.8101
-6.3827	41.883	0	0	39.9961
-6.12007	41.9093	0	0	40.1604
-5.85745	41.9164	0	0	40.3134
-5.59482	41.9298	0	0	40.4455
-5.33219	41.9425	0	0	40.566
-5.06957	41.9316	0	0	40.6823
-4.80694	41.9389	0	0	40.776
-4.54431	41.9437	0	0	40.8628
-4.28169	41.9388	0	0	40.9456
-4.01906	41.9544	0	0	41.0182
-3.75644	41.951	0	0	41.0871
-3.49381	41.9433	0	0	41.1479
-3.23118	41.9519	0	31.5561	41.2053
-2.96856	41.9407	0	32.9361	41.2579
-2.70593	41.9431	0	33.8763	41.3057
-2.4433	41.9532	0	34.7221	41.3512
-2.18068	41.942	0	35.5224	41.3908
-1.91805	41.9462	0	36.2886	41.433
-1.65543	41.9405	0	37.0156	41.4696
-1.3928	41.9224	0	37.6855	41.5034
-1.13017	41.9301	0	38.2695	41.5343
-0.867547	41.9249	0	38.7551	41.5858
-0.604921	41.9176	0	39.1771	41.5487
-0.342295	41.9185	0	39.5595	41.6333
-0.0796683	41.8899	0	39.8927	41.648
0.182958	41.8706	0	40.1679	41.6757
0.445584	41.8581	0	40.3953	41.6958
0.70821	41.8225	0	40.5939	41.7235
0.970837	41.8023	0	40.7313	41.7444
1.23346	41.7637	0	40.8177	41.7664
1.49609	41.6967	36.1888	40.9412	41.7841
1.75872	41.6495	37.4162	41.0133	41.8028
2.02134	41.5763	38.3143	41.0513	41.8175
2.28397	41.4931	39.134	41.1071	41.8235
2.54659	41.4335	39.9165	41.1327	41.8663
2.80922	41.3319	40.6696	41.1419	41.8606
3.07185	41.2269	41.3855	41.1672	41.8733
3.33447	41.1322	42.0441	41.1916	41.8839
3.5971	40.9942	42.6153	41.1943	41.8942
3.85973	40.8821	43.0908	41.2292	41.9079
4.12235	40.7784	43.5074	41.1747	41.9097
4.38498	40.6426	43.8839	41.2333	41.9124
4.6476	40.5344	44.2093	41.1704	41.9137
4.91023	40.3973	44.4732	41.2248	41.9166
5.17286	40.236	44.693	41.1986	41.9142
5.43548	40.1206	44.881	41.2726	41.9132
5.69811	39.9808	45.0033	41.2182	41.9077
5.96074	39.8449	45.0973	41.298	41.9046
6.22336	39.7227	45.1838	41.2371	41.8952
6.48599	39.5433	45.2027	41.2198	41.8854
6.74861	39.38	45.2419	41.2678	41.8771
7.01124	39.2215	45.2497	41.1908	41.8602
7.27387	39.0139	45.181	41.2913	41.8485
7.53649	38.8353	45.1606	41.253	41.8472
7.79912	38.5918	45.0604	41.2137	41.8554
8.06175	38.1821	45.0155	41.2815	41.7005
8.32437	37.6788	44.81	41.2079	41.7944
8.587	37.0345	44.7877	41.2464	41.7218
8.84962	36.0138	44.5461	41.2584	41.7297
9.11225	33.9458	44.3047	41.1385	41.7572
9.37488	29.8711	44.0848	41.1707	41.5273
9.6375	22.1203	43.829	41.1755	41.6234
9.90013	7.6399	42.9687	41.1785	41.5072
10.1628	-19.1609	43.1946	41.1021	41.5323
10.4254	-68.517	42.1197	41.085	41.4037
10.688	-159.166	41.8926	40.9729	41.3266
10.9506	0	42.5761	40.9635	41.2155
11.2133	0	40.9684	40.8456	41.1658
11.4759	0	40.9653	40.6952	40.8743
11.7385	0	39.4999	40.6185	40.8522
12.0011	0	39.8497	40.4531	40.5917
12.2638	0	38.3464	40.3103	40.4739
12.5264	0	38.0757	39.9271	40.2237
12.789	0	36.5379	39.7857	39.8751
13.0516	0	36.682	39.3888	39.7867
13.3143	0	35.1894	39.1982	39.4666
13.5769	0	34.7458	38.6006	39.1181
13.8395	0	35.6929	37.9712	38.8081
14.1021	0	33.3127	37.9471	38.5802
14.3648	0	33.2461	37.1594	38.1956
14.6274	0	31.2077	36.1711	37.5407
14.89	0	31.5167	36.3524	36.7664
15.1527	0	28.8432	33.9189	35.4682
15.4153	0	0	0	0
15.6779	0	0	0	0
15.9405	0	0	0	0
16.2032	0	0	0	0
16.4658	0	0	0	0
