log(E / eV)	log(z / pc)	t / yr	 logQ
6	1.69897	0	48.5593
6.10101	1.69897	0	48.8079
6.20202	1.69897	0	48.963
6.30303	1.69897	0	49.044
6.40404	1.69897	0	49.0662
6.50505	1.69897	0	49.0419
6.60606	1.69897	0	48.9808
6.70707	1.69897	0	48.8904
6.80808	1.69897	0	48.7768
6.90909	1.69897	0	48.6449
7.0101	1.69897	0	48.4984
7.11111	1.69897	0	48.3404
7.21212	1.69897	0	48.1733
7.31313	1.69897	0	47.9989
7.41414	1.69897	0	47.8188
7.51515	1.69897	0	47.6342
7.61616	1.69897	0	47.4459
7.71717	1.69897	0	47.2548
7.81818	1.69897	0	47.0614
7.91919	1.69897	0	46.8662
8.0202	1.69897	0	46.6697
8.12121	1.69897	0	46.4719
8.22222	1.69897	0	46.2733
8.32323	1.69897	0	46.074
8.42424	1.69897	0	45.8741
8.52525	1.69897	0	45.6738
8.62626	1.69897	0	45.4731
8.72727	1.69897	0	45.2722
8.82828	1.69897	0	45.071
8.92929	1.69897	0	44.8696
9.0303	1.69897	0	44.6682
9.13131	1.69897	0	44.4666
9.23232	1.69897	0	44.2649
9.33333	1.69897	0	44.0631
9.43434	1.69897	0	43.8613
9.53535	1.69897	0	43.6594
9.63636	1.69897	0	43.4576
9.73737	1.69897	0	43.2556
9.83838	1.69897	0	43.0537
9.93939	1.69897	0	42.8517
10.0404	1.69897	0	42.6498
10.1414	1.69897	0	42.4478
10.2424	1.69897	0	42.2458
10.3434	1.69897	0	42.0438
10.4444	1.69897	0	41.8418
10.5455	1.69897	0	41.6398
10.6465	1.69897	0	41.4378
10.7475	1.69897	0	41.2358
10.8485	1.69897	0	41.0338
10.9495	1.69897	0	40.8318
11.0505	1.69897	0	40.6297
11.1515	1.69897	0	40.4277
11.2525	1.69897	0	40.2257
11.3535	1.69897	0	40.0237
11.4545	1.69897	0	39.8217
11.5556	1.69897	0	39.6196
11.6566	1.69897	0	39.4176
11.7576	1.69897	0	39.2156
11.8586	1.69897	0	39.0135
11.9596	1.69897	0	38.8115
12.0606	1.69897	0	38.6094
12.1616	1.69897	0	38.4074
12.2626	1.69897	0	38.2053
12.3636	1.69897	0	38.0033
12.4646	1.69897	0	37.8012
12.5657	1.69897	0	37.5991
12.6667	1.69897	0	37.3969
12.7677	1.69897	0	37.1948
12.8687	1.69897	0	36.9926
12.9697	1.69897	0	36.7903
13.0707	1.69897	0	36.5881
13.1717	1.69897	0	36.3857
13.2727	1.69897	0	36.1832
13.3737	1.69897	0	35.9807
13.4747	1.69897	0	35.778
13.5758	1.69897	0	35.5751
13.6768	1.69897	0	35.3719
13.7778	1.69897	0	35.1685
13.8788	1.69897	0	34.9647
13.9798	1.69897	0	34.7605
14.0808	1.69897	0	34.5557
14.1818	1.69897	0	34.3501
14.2828	1.69897	0	34.1437
14.3838	1.69897	0	33.936
14.4848	1.69897	0	33.7269
14.5859	1.69897	0	33.516
14.6869	1.69897	0	33.3027
14.7879	1.69897	0	33.0864
14.8889	1.69897	0	32.8664
14.9899	1.69897	0	32.6417
15.0909	1.69897	0	32.4111
15.1919	1.69897	0	32.1729
15.2929	1.69897	0	31.9254
15.3939	1.69897	0	31.6659
15.4949	1.69897	0	31.3913
15.596	1.69897	0	31.0977
15.697	1.69897	0	30.7802
15.798	1.69897	0	30.4324
15.899	1.69897	0	30.0464
16	1.69897	0	29.6123
6	1.71389	359.59	49.1119
6.10101	1.71389	359.59	49.3605
6.20202	1.71389	359.59	49.5156
6.30303	1.71389	359.59	49.5966
6.40404	1.71389	359.59	49.6188
6.50505	1.71389	359.59	49.5946
6.60606	1.71389	359.59	49.5334
6.70707	1.71389	359.59	49.443
6.80808	1.71389	359.59	49.3294
6.90909	1.71389	359.59	49.1975
7.0101	1.71389	359.59	49.051
7.11111	1.71389	359.59	48.893
7.21212	1.71389	359.59	48.7259
7.31313	1.71389	359.59	48.5515
7.41414	1.71389	359.59	48.3714
7.51515	1.71389	359.59	48.1868
7.61616	1.71389	359.59	47.9985
7.71717	1.71389	359.59	47.8074
7.81818	1.71389	359.59	47.614
7.91919	1.71389	359.59	47.4189
8.0202	1.71389	359.59	47.2223
8.12121	1.71389	359.59	47.0245
8.22222	1.71389	359.59	46.8259
8.32323	1.71389	359.59	46.6266
8.42424	1.71389	359.59	46.4267
8.52525	1.71389	359.59	46.2264
8.62626	1.71389	359.59	46.0257
8.72727	1.71389	359.59	45.8248
8.82828	1.71389	359.59	45.6236
8.92929	1.71389	359.59	45.4223
9.0303	1.71389	359.59	45.2208
9.13131	1.71389	359.59	45.0192
9.23232	1.71389	359.59	44.8175
9.33333	1.71389	359.59	44.6157
9.43434	1.71389	359.59	44.4139
9.53535	1.71389	359.59	44.2121
