log(E/eV)	z/pc	tobs/yr	Synchr	IC	IC - IR	SSC
-6	50	0	33.7784	0	0	0	33.7784
-5.76768	50	0	33.8925	0	0	22.4595	33.8925
-5.53535	50	0	34.0125	0	0	23.0607	34.0125
-5.30303	50	0	34.1263	0	0	23.5446	34.1263
-5.07071	50	0	34.2404	0	0	23.9809	34.2404
-4.83838	50	0	34.3619	0	0	24.3844	34.3619
-4.60606	50	0	34.4773	0	0	24.755	34.4773
-4.37374	50	0	34.5903	0	0	25.0647	34.5903
-4.14141	50	0	34.7097	0	0	25.3557	34.7097
-3.90909	50	0	34.824	0	0	25.6302	34.824
-3.67677	50	0	34.9356	0	23.5835	25.8762	34.9356
-3.44444	50	0	35.056	0	24.8242	26.1058	35.056
-3.21212	50	0	35.1741	0	25.726	26.3265	35.1741
-2.9798	50	0	35.2878	0	26.5329	26.5399	35.2878
-2.74747	50	0	35.4076	0	27.2915	26.7297	35.4076
-2.51515	50	0	35.524	0	28.0195	26.9187	35.524
-2.28283	50	0	35.6347	0	28.7251	27.1074	35.6347
-2.05051	50	0	35.753	0	29.4102	27.2739	35.753
-1.81818	50	0	35.8718	0	30.0724	27.4453	35.8718
-1.58586	50	0	35.9848	21.5024	30.7026	27.6187	35.9848
-1.35354	50	0	36.1036	24.4318	31.2843	27.7749	36.1036
-1.12121	50	0	36.2224	25.3181	31.7962	27.9292	36.2224
-0.888889	50	0	36.3333	26.0879	32.2299	28.0916	36.3334
-0.656566	50	0	36.4494	26.8141	32.6087	28.2387	36.4495
-0.424242	50	0	36.5684	27.5183	32.9563	28.3886	36.5685
-0.191919	50	0	36.6807	28.208	33.2716	28.5421	36.6809
0.040404	50	0	36.7977	28.8847	33.5481	28.6836	36.798
0.272727	50	0	36.9185	29.5457	33.7885	28.8254	36.9188
0.505051	50	0	37.0309	30.1827	34.0163	28.9734	37.0313
0.737374	50	0	37.1451	30.7807	34.2234	29.1127	37.1456
0.969697	50	0	37.2638	31.3183	34.4141	29.2545	37.2644
1.20202	50	0	37.3749	31.7784	34.5822	29.3992	37.3756
1.43434	50	0	37.4878	32.1731	34.7586	29.5321	37.4886
1.66667	50	0	37.6071	32.531	34.9181	29.6711	37.608
1.89899	50	0	37.719	32.8575	35.0561	29.8105	37.72
2.13131	50	0	37.8291	33.1476	35.2093	29.9433	37.8301
2.36364	50	0	37.9432	33.4027	35.3447	30.0819	37.9443
2.59596	50	0	38.0481	33.6288	35.4531	30.2209	38.0492
