log(E / eV)	log(z / pc)	t / yr	 logQ
6	1.69897	0	60.0115
6.10101	1.69897	0	60.0187
6.20202	1.69897	0	60.0019
6.30303	1.69897	0	59.9594
6.40404	1.69897	0	59.8918
6.50505	1.69897	0	59.8013
6.60606	1.69897	0	59.6907
6.70707	1.69897	0	59.5631
6.80808	1.69897	0	59.4212
6.90909	1.69897	0	59.2676
7.0101	1.69897	0	59.1043
7.11111	1.69897	0	58.9333
7.21212	1.69897	0	58.756
7.31313	1.69897	0	58.5737
7.41414	1.69897	0	58.3874
7.51515	1.69897	0	58.1979
7.61616	1.69897	0	58.0058
7.71717	1.69897	0	57.8116
7.81818	1.69897	0	57.6158
7.91919	1.69897	0	57.4188
8.0202	1.69897	0	57.2207
8.12121	1.69897	0	57.0218
8.22222	1.69897	0	56.8223
8.32323	1.69897	0	56.6222
8.42424	1.69897	0	56.4217
8.52525	1.69897	0	56.2209
8.62626	1.69897	0	56.0199
8.72727	1.69897	0	55.8187
8.82828	1.69897	0	55.6172
8.92929	1.69897	0	55.4157
9.0303	1.69897	0	55.2141
9.13131	1.69897	0	55.0124
9.23232	1.69897	0	54.8106
9.33333	1.69897	0	54.6087
9.43434	1.69897	0	54.4068
9.53535	1.69897	0	54.2049
9.63636	1.69897	0	54.0029
9.73737	1.69897	0	53.8008
9.83838	1.69897	0	53.5986
9.93939	1.69897	0	53.3962
10.0404	1.69897	0	53.1936
10.1414	1.69897	0	52.9905
10.2424	1.69897	0	52.7867
10.3434	1.69897	0	52.5819
10.4444	1.69897	0	52.3756
10.5455	1.69897	0	52.1673
10.6465	1.69897	0	51.956
10.7475	1.69897	0	51.7411
10.8485	1.69897	0	51.5215
10.9495	1.69897	0	51.2963
11.0505	1.69897	0	51.0649
11.1515	1.69897	0	50.8267
11.2525	1.69897	0	50.5813
11.3535	1.69897	0	50.3287
11.4545	1.69897	0	50.0693
11.5556	1.69897	0	49.8033
11.6566	1.69897	0	49.5313
11.7576	1.69897	0	49.254
11.8586	1.69897	0	48.9721
11.9596	1.69897	0	48.6861
12.0606	1.69897	0	48.3966
12.1616	1.69897	0	48.1043
12.2626	1.69897	0	47.8094
12.3636	1.69897	0	47.5124
12.4646	1.69897	0	47.2135
12.5657	1.69897	0	46.9131
12.6667	1.69897	0	46.6111
12.7677	1.69897	0	46.3078
12.8687	1.69897	0	46.0032
12.9697	1.69897	0	45.6972
13.0707	1.69897	0	45.3898
13.1717	1.69897	0	45.081
13.2727	1.69897	0	44.7704
13.3737	1.69897	0	44.458
13.4747	1.69897	0	44.1435
13.5758	1.69897	0	43.8264
13.6768	1.69897	0	43.5064
13.7778	1.69897	0	43.183
13.8788	1.69897	0	42.8556
13.9798	1.69897	0	42.5234
14.0808	1.69897	0	42.1855
14.1818	1.69897	0	41.8409
14.2828	1.69897	0	41.4883
14.3838	1.69897	0	41.126
14.4848	1.69897	0	40.7523
14.5859	1.69897	0	40.3648
14.6869	1.69897	0	39.9606
14.7879	1.69897	0	39.5364
14.8889	1.69897	0	39.0877
14.9899	1.69897	0	38.6094
15.0909	1.69897	0	38.0949
15.1919	1.69897	0	37.536
15.2929	1.69897	0	36.9227
15.3939	1.69897	0	36.2423
15.4949	1.69897	0	35.4788
15.596	1.69897	0	34.6121
15.697	1.69897	0	33.6164
15.798	1.69897	0	32.4578
15.899	1.69897	0	31.0793
16	1.69897	0	-inf
6	1.71389	108.994	61.2034
6.10101	1.71389	108.994	61.2106
6.20202	1.71389	108.994	61.1938
6.30303	1.71389	108.994	61.1512
6.40404	1.71389	108.994	61.0836
6.50505	1.71389	108.994	60.9931
