t_obs [yr]	z [pc] 	t_lab [yr]	Rc/Rj	g=Gc/Gj	rho_c	rho_j	Lnt	Lnt_obs
0	50	0	0.00132922	0.1	2.66887e-21	4.94928e-26	3.25692e+41	2.21604e+41
108.994	51.7476	5.71846	0.0200572	0.100124	4.11239e-23	4.62063e-26	2.29333e+43	1.52807e+43
134.002	53.5563	11.6368	0.0269215	0.101883	2.42746e-23	4.3138e-26	3.07597e+43	1.9093e+43
150.979	55.4283	17.762	0.0316303	0.103712	1.75029e-23	4.02735e-26	3.61125e+43	2.17787e+43
164.349	57.3656	24.1013	0.0351472	0.105612	1.37263e-23	3.75992e-26	4.00954e+43	2.37732e+43
175.623	59.3707	30.6621	0.0378566	0.107541	1.12792e-23	3.51025e-26	4.31504e+43	2.53357e+43
185.518	61.4458	37.4523	0.0399667	0.109475	9.54824e-24	3.27715e-26	4.55168e+43	2.65981e+43
194.437	63.5935	44.4798	0.0416087	0.111401	8.25096e-24	3.05954e-26	4.73461e+43	2.7637e+43
202.631	65.8163	51.753	0.0428738	0.11331	7.23787e-24	2.85637e-26	4.87433e+43	2.85007e+43
210.266	68.1167	59.2803	0.0438288	0.115197	6.42204e-24	2.6667e-26	4.97854e+43	2.92218e+43
217.462	70.4976	67.0708	0.0445251	0.11706	5.74925e-24	2.48962e-26	5.0532e+43	2.98235e+43
224.304	72.9616	75.1335	0.0450035	0.118897	5.18384e-24	2.3243e-26	5.10301e+43	3.03228e+43
230.859	75.5118	83.4781	0.045297	0.120708	4.7013e-24	2.16996e-26	5.13178e+43	3.07326e+43
237.177	78.1512	92.1143	0.045433	0.122491	4.28424e-24	2.02587e-26	5.14265e+43	3.10632e+43
243.299	80.8827	101.052	0.0454344	0.124248	3.91992e-24	1.89134e-26	5.13828e+43	3.13229e+43
249.258	83.7098	110.303	0.0453203	0.125978	3.59881e-24	1.76575e-26	5.12088e+43	3.15186e+43
255.082	86.6357	119.877	0.0451075	0.127683	3.3136e-24	1.6485e-26	5.09235e+43	3.16559e+43
260.793	89.6638	129.785	0.04481	0.129362	3.0586e-24	1.53903e-26	5.05433e+43	3.174e+43
266.41	92.7978	140.04	0.0444402	0.131016	2.8293e-24	1.43683e-26	5.00822e+43	3.17753e+43
271.951	96.0413	150.653	0.0440087	0.132646	2.62207e-24	1.34142e-26	4.95526e+43	3.17657e+43
277.429	99.3982	161.637	0.0435249	0.134253	2.43397e-24	1.25235e-26	4.8965e+43	3.17148e+43
282.858	102.872	173.005	0.0429968	0.135838	2.26258e-24	1.16919e-26	4.83288e+43	3.16257e+43
288.248	106.468	184.771	0.0424317	0.137402	2.10587e-24	1.09155e-26	4.76521e+43	3.15015e+43
293.61	110.189	196.947	0.0418358	0.138944	1.96215e-24	1.01907e-26	4.6942e+43	3.1345e+43
298.953	114.041	209.55	0.0412145	0.140467	1.83e-24	9.51397e-27	4.62049e+43	3.11587e+43
